DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES;
BOL;BOG;2177;5506;22321016;
BOL;BOG;363;1137;4609287;
BOL;BOG;176;706;2864184;
BOL;BOG;64;238;968605;
BOL;BOG;1867;4380;17779018;
BOL;BOG;504;2108;8546744;
BOL;BOG;96;240;975790;
BOL;BOG;28;267;1085110;
BOL;BOG;16;71;295984;
BOL;BOG;244;1621;6571793;
BOL;BOG;8;47;192634;
BOL;BOG;126;253;1029209;
BOL;BOG;120;1000;4359400;
BOL;BOG;98;1752;7685428;
BOL;BOG;4;20;91417;
BOL;BOG;13;89;392342;
BOL;BOG;26;124;547455;
BOL;BOG;15;104;457967;
BOL;BOG;300;2267;9667251;
BOL;BOG;289;1171;5064944;
BOL;BOG;57;292;1282703;
BOL;BOG;92;336;1427300;
BOL;BOG;41;177;776965;
BOL;BOG;812;1957;8575352;
BOL;BOG;236;1152;5046474;
BOL;BOG;45;133;579867;
BOL;BOG;148;483;2030809;
BOL;BOG;84;483;2048744;
BOL;BOG;825;1902;8277937;
BOL;BOG;532;2168;9474631;
BOL;BOG;107;432;1860013;
BOL;BOG;17;82;344987;
BOL;BOG;314;2317;10144503;
BOL;BOG;7;31;130583;
BOL;BOG;178;1433;6169136;
BOL;BOG;33;196;859873;
BOL;BOG;8;24;109140;
BOL;BOG;218;1248;5260852;
BOL;BOG;46;210;920802;
BOL;BOG;29;62;274780;
BOL;BOG;161;3896;16189017;
BOL;BOG;25;697;2897031;
BOL;BOG;20;396;1634031;
BOL;BOG;3;168;736958;
BOL;BOG;3;5374;23573910;
BOL;BOG;1;394;1728344;
BOL;BOG;2;100;438666;
BOL;BOG;5;685;3004862;
BOL;BOG;3;145;636065;
BOL;BOG;180;5130;21314842;
BOL;BOG;81;8222;35842986;
BOL;BOG;151;7852;34230008;
BOL;BOG;15;430;1782637;
BOL;BOG;30;732;3031526;
BOL;BOG;222;3710;15365450;
BOL;BOG;382;7323;30328685;
BOL;BOG;28;1471;6092871;
BOL;BOG;336;794;3376159;
BOL;BOG;100;5300;23249298;
BOL;BOG;1;22;93545;
BOL;BOG;586;7148;29463745;
BOL;BOG;1;19;80789;
BOL;BOG;1;21;89293;
BOL;BOG;5;108;459225;
BOL;BOG;504;8534;35667231;
BOL;BOG;3;58;246621;
BOL;BOG;1;19;80789;
BOL;BOG;157;4020;17083444;
BOL;BOG;20000;3388;14238144;
BOL;BOG;77;637;2626895;
BOL;BOG;42;262;1081662;
BOL;BOG;40;4;16565;
BOL;BOG;130;13;53838;
BOL;BOG;52;5076;21093633;
BOL;BOG;312;1978;8151904;
BOL;BOG;1;34;148219;
BOL;BOG;2180;17200;73558924;
BOL;BOG;151;6495;27887764;
BOL;BOG;142;3950;16741926;
BOL;BOG;30;853;3679865;
BOL;BOG;976;12327;52877557;
BOL;BOG;262;935;3951634;
BOL;BOG;115;533;2342300;
BOL;BOG;853;117698;498905396;
BOL;BOG;826;11528;48807857;
BOL;BOG;149;7318;31661804;
BOL;BOG;410;10847;46171146;
BOL;BOG;202;483;2044045;
BOL;BOG;151;2954;12571595;
BOL;BOG;173;728;3145682;
BOL;BOG;5267;383;1620696;
BOL;BOG;92;556;2350015;
BOL;BOG;5;26;111252;
BOL;BOG;180;1031;4355845;
BOL;BOG;7;45;190922;
BOL;BOG;5;17;75575;
BOL;BOG;105;410;1732450;
BOL;BOG;5;21;91619;
BOL;BOG;229;535;2261351;
BOL;BOG;260;688;2907837;
BOL;BOG;98;342;1446234;
BOL;BOG;45;196;828374;
BOL;BOG;1201;2855;12056177;
BOL;BOG;478;1640;6926254;
BOL;BOG;274;635;2681407;
BOL;BOG;23;218;920415;
BOL;BOG;124;592;2503530;
BOL;BOG;248;2469;10425733;
BOL;BOG;58;165;697827;
BOL;BOG;97;436;1844715;
BOL;BOG;7;32;138315;
BOL;BOG;70;4233;17944196;
BOL;BOG;2;12;54596;
BOL;BOG;21;216;946814;
BOL;BOG;6;66;279629;
BOL;BOG;99;5346;22143066;
BOL;BOG;20;625;2678577;
BOL;BOG;124;7480;32190468;
BOL;BOG;200;1217;5174731;
BOL;BOG;22;353;1520583;
BOL;BOG;26;321;1411671;
BOL;BOG;420;2526;11080747;
BOL;BOG;45;4912;20740299;
BOL;BOG;1337;28236;119974764;
BOL;BOG;66;41;174836;
BOL;BOG;513;4458;19326931;
BOL;BOG;14;491;2112047;
BOL;BOG;7;251;1062475;
BOL;BOG;153;736;3140333;
BOL;BOG;4;6969;29612258;
BOL;BOG;1;428;1821886;
BOL;BOG;12;5420;23033744;
BOL;BOG;2;29862;130998432;
BOL;BOG;24;1956;8101631;
BOL;BOG;737;6235;27352535;
BOL;BOG;216;6462;27338836;
BOL;BOG;682;608144;2629073153;
BOL;BOG;0;45;187405;
BOL;BOG;18;624;2571266;
BOL;BOG;0;112;462045;
BOL;BOG;38;5404;22269684;
BOL;BOG;2;53;221524;
BOL;BOG;9;708;2920613;
BOL;BOG;27;650;2679762;
BOL;BOG;5;106;437197;
BOL;BOG;170;6120;25789496;
BOL;BUN;7878;81187;350235100;
BOL;BUN;199;8332;35527765;
BOL;BUN;176;6598;28053368;
BOL;BUN;26;723;3069022;
BOL;BUN;3649;14646;63833652;
BOL;BUN;25;84;370497;
BOL;BUN;658;2289;9618772;
